1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
LoanNumber,BidsPortfolioManager,BidsApi,BidsManual,NewCreditCustomer,LoanDate,MaturityDate_Last,ApplicationSignedHour,ApplicationSignedWeekday,VerificationType,LanguageCode,Age,Gender,Country,AppliedAmount,Amount,Interest,LoanDuration,MonthlyPayment,UseOfLoan,Education,MaritalStatus,NrOfDependants,EmploymentStatus,EmploymentDurationCurrentEmployer,WorkExperience,OccupationArea,HomeOwnershipType,IncomeFromPrincipalEmployer,IncomeFromPension,IncomeFromFamilyAllowance,IncomeFromSocialWelfare,IncomeFromLeavePay,IncomeFromChildSupport,IncomeOther,IncomeTotal,ExistingLiabilities,LiabilitiesTotal,RefinanceLiabilities,DebtToIncome,FreeCash,MonthlyPaymentDay,NoOfPreviousLoansBeforeLoan,AmountOfPreviousLoansBeforeLoan,PreviousRepaymentsBeforeLoan,PreviousEarlyRepaymentsBefoleLoan,PreviousEarlyRepaymentsCountBeforeLoan,CreditScoreEsMicroL,CreditScoreEsEquifaxRisk,CreditScoreFiAsiakasTietoRiskGrade,CreditScoreEeMini,ProbabilityOfDefault,DefaultDate
1920,0,0,332.3406,TRUE,2010/2/16,2010/12/9,20,4,2,1,49,0,EE,332.3406,332.3565,33,9,0,6,4,1,0,3,UpTo4Years,MoreThan25Years,3,0,14000,0,0,0,0,0,0,14000,0,0,0,0,0,9,0,0,0,0,0,,,,,0,2010/8/10
2319,0,0,223.6907,TRUE,2010/3/7,2010/12/9,21,4,2,1,49,0,EE,223.6908,223.6797,33,9,0,6,4,1,0,3,UpTo4Years,MoreThan25Years,3,0,14000,0,0,0,0,0,0,14000,0,0,0,0,0,9,1,332.3565,0,0,0,,,,,0,2010/8/10
5673,0,0,1500,FALSE,2011/1/26,2013/2/18,18,6,3,1,53,1,EE,1500,1500,25,24,0,6,4,1,0,3,UpTo1Year,MoreThan25Years,7,1,595,0,0,0,0,0,179,774,3,102.94,3,0,0,16,1,639.1342,236.7887,0,0,,,,,0,2011/11/17
6571,0,0,1500,TRUE,2011/5/6,2012/11/20,21,5,4,1,29,1,EE,1500,1500,35,18,0,0,5,1,1,3,UpTo4Years,2To5Years,11,1,0,0,0,0,0,0,900,900,0,0,0,0,0,20,0,0,0,0,0,,,,,0,2011/12/21
9148,0,0,1000,TRUE,2012/2/1,2017/12/28,11,1,4,1,34,1,EE,1000,1000,28,24,0,8,3,1,2,3,UpTo1Year,LessThan2Years,19,7,655,0,0,0,0,0,0,655,1,315,0,8.4,285,28,0,0,0,0,0,,,,,0,2015/3/30
11584,2775,0,225,TRUE,2012/10/12,2015/11/6,21,3,4,1,40,1,EE,3000,3000,28,36,0,0,4,5,1,3,MoreThan5Years,5To10Years,3,1,1258,0,0,0,0,0,0,1258,7,333,0,0,0,6,0,0,0,0,0,,,,,0,2014/7/7
15879,1375,0,1275,TRUE,2012/11/30,2018/9/4,12,4,4,1,65,1,EE,2650,2650,28,24,0,0,2,5,0,3,MoreThan5Years,5To10Years,19,7,365,0,0,0,0,0,290,655,9,387,5,30.38,436,16,0,0,0,0,0,,,,800,0.246851381,2018/10/22
17450,2000,0,0,TRUE,2012/12/31,2019/8/26,14,1,4,3,32,0,EE,2000,2000,28,24,0,6,3,1,0,3,MoreThan5Years,15To25Years,8,1,659,0,0,0,0,0,0,659,5,316,0,50.83,233,6,0,0,0,0,0,,,,1000,6.19E-02,2015/1/27
18310,2000,0,0,TRUE,2013/1/17,2019/4/10,19,3,4,1,29,1,EE,2000,2000,28,36,0,0,4,2,2,3,UpTo1Year,LessThan2Years,1,2,461,0,0,0,0,0,57,518,9,205,5,39.58,230,15,0,0,0,0,0,,,,,0.1382,2014/12/11
19889,3000,0,0,TRUE,2013/1/28,2014/8/13,11,1,4,1,29,1,EE,3000,3000,28,18,0,6,4,2,2,3,UpTo4Years,2To5Years,19,2,751,0,0,0,0,0,67,818,7,464,1,50.12,298,13,0,0,0,0,0,,,,,0.1707,2013/5/14
18368,1280,0,2720,TRUE,2013/1/28,2019/4/10,18,4,4,1,38,0,EE,4000,4000,25,36,0,0,5,3,0,3,MoreThan5Years,15To25Years,8,3,2060,0,0,0,0,0,0,2060,11,1348,3,12.18,925,10,0,0,0,0,0,,,,,0.1264,
20536,85,0,1715,FALSE,2013/2/14,2014/3/3,15,2,4,1,37,0,EE,1800,1800,12,12,0,7,4,3,0,3,UpTo3Years,15To25Years,3,7,1800,0,0,0,0,0,0,1800,6,1020,0,65.56,620,3,3,4000,3599.41,0,0,,,,,0.1033,2014/4/4
21592,2500,0,0,TRUE,2013/3/11,2019/8/5,16,6,4,1,25,0,EE,2500,2500,28,36,0,0,4,2,0,3,MoreThan5Years,5To10Years,1,2,700,0,0,0,0,0,0,700,10,387,4,52.86,210,8,0,0,0,0,0,,,,,0.3444,2015/2/5
21957,40,0,1660,TRUE,2013/3/12,2017/3/14,15,5,4,1,35,0,EE,1700,1700,10,48,0,6,4,2,2,3,MoreThan5Years,5To10Years,8,1,878,0,0,0,0,0,454,1332,6,420,0,17.57,869,14,0,0,0,0,0,,,,,6.19E-02,
22261,770,0,1030,FALSE,2013/3/18,2018/4/12,1,1,4,1,54,1,EE,1800,1800,18,60,0,0,4,2,0,3,MoreThan5Years,10To15Years,7,3,863,0,0,0,0,0,0,863,8,494,1,45.54,388,12,1,2500,379.96,0,0,,,,,2.39E-02,
22356,615,0,3385,FALSE,2013/3/21,2016/12/12,15,5,4,1,38,1,EE,4000,4000,15,60,0,2,4,1,1,3,MoreThan5Years,15To25Years,7,1,415,0,0,0,0,0,38,453,4,121,0,32.67,237,12,7,5248.9376,5896.856,0,0,,,,,7.45E-02,
22976,2000,0,0,TRUE,2013/3/27,2017/7/6,12,4,4,1,37,1,EE,2000,2000,28,24,0,0,5,3,1,3,UpTo1Year,LessThan2Years,1,6,680,0,0,0,0,0,169,849,13,1051,7,47.94,391,3,0,0,0,0,0,,,,,0.3041,
23396,240,0,0,TRUE,2013/4/4,2013/7/11,16,4,4,1,27,0,EE,240,240,28,3,0,7,3,3,0,3,UpTo1Year,5To10Years,10,3,500,0,0,0,0,0,0,500,2,110,0,16.8,306,11,0,0,0,0,0,,,,900,9.97E-02,2013/7/15
23326,2340,0,4660,FALSE,2013/4/5,2018/4/16,8,3,4,3,31,0,EE,7000,7000,21,60,0,7,4,2,2,3,UpTo5Years,10To15Years,10,8,1390,0,0,0,0,0,38,1428,6,799,0,34.38,440,15,2,2237.2067,2872.0444,0,0,,,,,3.35E-02,
