"department","code","name","amount","year"
"505","ASST","Capital Assets",19888931.44,2008
"505","PROJ","Capital Projects",17848982.41,2008
"505","UTIL","Fuel and Utilities",72085400.78,2008
"505","INSR","Insurance",12408461.55,2008
"505","REPR","Maintenance and Repair",18487324.47,2008
"505","ADMN","Other Administrative and Operating",12935505.92,2008
"505","PRNT","Printing",495647.54,2008
"505","PROF","Professional and Contractual Services",16484235.01,2008
"505","RENT","Rent & Lease",17612656.44,2008
"505","SPLY","Supplies",56759964.96,2008
"505","TELE","Telecommunications",1234316.77,2008
"505","TRAV","Travel and Training",1774284.02,2008
"505",NA,"Total:",248015711.31,2008
"505","ASST","Capital Assets",16227960.08,2009
"505","PROJ","Capital Projects",10085540.53,2009
"505","UTIL","Fuel and Utilities",81784936.87,2009
"505","INSR","Insurance",10140606.68,2009
"505","REPR","Maintenance and Repair",24780926.61,2009
"505","ADMN","Other Administrative and Operating",11488879.35,2009
"505","PRNT","Printing",579739.61,2009
"505","PROF","Professional and Contractual Services",17800565.56,2009
"505","RENT","Rent & Lease",17660498.03,2009
"505","SPLY","Supplies",57267126.67,2009
"505","TELE","Telecommunications",1425242.86,2009
"505","TRAV","Travel and Training",1797872.29,2009
"505",NA,"Total:",251039895.14,2009
"505","ASST","Capital Assets",30411667.05,2010
"505","PROJ","Capital Projects",11098394.36,2010
"505","UTIL","Fuel and Utilities",62296810.18,2010
"505","INSR","Insurance",13128626.78,2010
"505","REPR","Maintenance and Repair",21173801.55,2010
"505","ADMN","Other Administrative and Operating",10711385.02,2010
"505","PRNT","Printing",560959.66,2010
"505","PROF","Professional and Contractual Services",20898860.61,2010
"505","RENT","Rent & Lease",17445857.02,2010
"505","SPLY","Supplies",60997918.85,2010
"505","TELE","Telecommunications",1546110.18,2010
"505","TRAV","Travel and Training",1752447.29,2010
"505",NA,"Total:",252022838.55,2010
"505","ASST","Capital Assets",14429183.88,2011
"505","PROJ","Capital Projects",30301717.07,2011
"505","UTIL","Fuel and Utilities",62750780.45,2011
"505","INSR","Insurance",14962362.43,2011
"505","REPR","Maintenance and Repair",18741055.12,2011
"505","ADMN","Other Administrative and Operating",10641012.21,2011
"505","PRNT","Printing",659632.33,2011
"505","PROF","Professional and Contractual Services",20946731.37,2011
"505","RENT","Rent & Lease",18583099.16,2011
"505","SPLY","Supplies",55087655.89,2011
"505","TELE","Telecommunications",1718118.81,2011
"505","TRAV","Travel and Training",2009304.47,2011
"505",NA,"Total:",250830653.19,2011
"505","ASST","Capital Assets",7626226.22,2012
"505","PROJ","Capital Projects",22981907.17,2012
"505","UTIL","Fuel and Utilities",55102525.52,2012
"505","INSR","Insurance",15830501.14,2012
"505","REPR","Maintenance and Repair",16506926.88,2012
"505","ADMN","Other Administrative and Operating",22438824.02,2012
"505","PRNT","Printing",597392.59,2012
"505","PROF","Professional and Contractual Services",26513184.09,2012
"505","RENT","Rent & Lease",17849032.29,2012
"505","SPLY","Supplies",51162443.16,2012
"505","TELE","Telecommunications",1590086.05,2012
"505","TRAV","Travel and Training",1783320.01,2012
"505",NA,"Total:",239982369.14,2012
"505","ASST","Capital Assets",23851643.66,2013
"505","PROJ","Capital Projects",38193471.51,2013
"505","UTIL","Fuel and Utilities",55016190.9,2013
"505","INSR","Insurance",13773628.84,2013
