PRSM,FICO,TotalAmtOwed,Volume,Stress,Num_Delinquent,Num_CreditLines,WomanOwned,CorpStructure,NAICS,Months
0.5862965715241071,677,217735.8,85782.920961071,0.21151821127930803,5,11,0,Corp,445250,22
0.6065007754959362,657,292501.342,257247.70367709143,0.094753467124939,5,11,0,Sole,445230,18
0.7526548130443058,614,270295.478,112095.56787627548,0.20094124677193329,5,12,0,LLC,445292,18
0.6946239339836867,689,68005.847,24322.411799182235,0.23300131432102497,5,8,1,Sole,458210,16
0.7527801493361017,687,43433.229,16815.393687014097,0.2152453767880056,5,12,1,Sole,444240,24
0.831342348648349,756,53245.261,30399.03705348522,0.1459620275315472,4,12,1,Sole,445110,17
1.0251748943528731,672,278250.513,126859.2120303979,0.18278170247852255,5,10,1,LLC,445320,11
0.9796768017575258,702,14169.109,2640.8013909373335,0.44712150159623754,5,11,1,LLC,722410,12
1.2189428144754797,688,222473.587,124887.3635610825,0.14844949124308857,5,11,1,LLC,444140,20
0.9820697368249671,753,401301.26,113181.56304714088,0.2954701345901889,4,12,1,Sole,445110,12
0.8554896681704105,681,245254.016,100493.9803334625,0.20337372048404448,5,9,1,Corp,445240,14
0.4328029823371697,533,316717.825,283037.848463493,0.09324955028669106,6,9,0,Sole,458310,18
0.9894154873833259,633,324652.569,297824.01473852945,0.0908401586546069,5,9,1,Partner,722330,19
0.7320875779783833,693,221055.369,241085.20111936922,0.07640983629218709,5,12,1,Corp,459910,14
0.8203409481943233,688,227714.144,132885.33192039878,0.142801153388651,5,12,1,Corp,459310,13
1.3136048088487875,745,548375.433,101576.70880512703,0.4498861332244053,4,12,1,Sole,459910,24
0.6798374341341976,706,50119.021,35212.459560720265,0.11861100120345873,5,8,1,Corp,445240,16
1.0097091990118585,707,28936.099,18619.91940081829,0.12950333089129065,5,8,1,Partner,444140,20
0.9205381206910201,669,624777.466,166562.79788105187,0.3125835390356168,5,12,0,Partner,445291,21
1.1052052778367172,709,123857.308,53878.402014347674,0.19156919929779584,5,8,1,Partner,441120,16
0.5594101467373189,691,110638.307,53858.55305972015,0.17118653199693984,5,12,0,Sole,445320,21
0.7092274689006144,661,274421.855,104683.39784605814,0.21845381777056808,5,12,0,Partner,459210,16
0.7166677510026793,715,134761.204,94024.93449488009,0.11943747042913222,4,9,1,Sole,722513,25
1.0825627524357841,702,196850.299,61199.77548711738,0.26804332945284143,5,11,1,LLC,722511,19
0.8902413410890114,693,24764.751,19059.671128582744,0.10827727488461951,5,12,1,Corp,445291,29
0.6694095971959507,581,405626.169,784178.1884680378,0.04310522945816127,5,11,0,Partner,444240,13
0.7271895506861589,666,103485.109,60106.27885709387,0.14347517842248753,5,8,0,LLC,445110,20
0.8658524057906625,756,77273.111,49922.94186062221,0.1289873087736823,4,9,1,Corp,445230,17
0.7038241084985732,678,485502.965,388683.05271373095,0.10409144451807327,5,12,0,Corp,445292,16
0.5391840967851778,735,115214.416,30020.280557228296,0.31982383758973737,4,10,0,Sole,444140,23
0.7844760075360904,610,435290.24,133742.94691058836,0.27122317478855296,5,10,0,Partner,445320,15
0.7402123730948638,737,62238.116,16328.663083158286,0.31763222991698187,4,11,0,Sole,458210,19
0.6804016017503153,609,127158.408,69733.57873898585,0.15195740978192207,5,12,1,Corp,459210,14
0.572032825075916,738,96035.188,19397.392418952335,0.41257774037267103,4,8,0,Sole,458310,15
0.582019540421464,672,133626.358,54602.45760602932,0.20393825335993165,5,10,0,Corp,458310,13
1.1430576188543307,677,149440.584,49283.28221968048,0.2526897852397287,5,9,1,Partner,441120,18
0.6719965069518044,643,327114.824,170420.04073711287,0.15995518220017815,5,9,0,Sole,445240,18
0.8331608240213174,512,227072.92,43115.135130653645,0.4388886472462845,7,11,0,LLC,459310,27
0.8240473288325305,689,16539.421,3807.5366196862956,0.3619886611745551,5,10,1,Sole,722511,19
0.7677564810895309,782,215248.881,210877.709751903,0.0850607054254492,4,9,0,LLC,441120,22
1.1105318065698604,834,326686.841,111069.27715786365,0.24510741505927977,3,10,1,Sole,459910,19
0.6654442967765113,662,258452.19,151755.27872604155,0.14192377807747444,5,8,1,Corp,722511,15
0.39886973199134595,736,113640.791,77408.07676400237,0.12233950658066987,4,11,0,Sole,459210,21
0.7452342947691797,653,31961.651,8444.470236951714,0.31541006622437057,5,12,1,Partner,444140,18
0.58704175136195,599,226675.727,64503.182358257385,0.29284824757562533,5,12,0,Sole,458310,14
0.6511406152999396,700,85292.729,26426.747996811628,0.26895959417799764,5,11,0,Partner,722511,14
0.38839418088779204,586,173408.074,606612.4091412477,0.023821920909581226,5,12,0,Sole,445320,14
0.7664138874682561,714,195844.371,591148.5799410194,0.027607888784285554,4,10,1,Sole,445292,28
0.7200837873390585,706,449350.415,234894.46350081588,0.15941571103286817,5,12,0,LLC,445131,17
0.6472446075859999,620,323490.539,91285.90875431837,0.29530893962198096,5,9,0,Sole,459310,11
0.45560430054144624,655,271165.654,501759.0217832971,0.04503583762783388,5,10,0,Sole,722410,9
0.9533484653806616,743,179728.107,258694.769577403,0.05789580622162015,4,11,1,Corp,722410,13
0.8861110312807567,636,130566.662,64603.93592835388,0.16841938513983518,5,12,1,Partner,458310,23
0.7718003553622395,721,75577.815,30506.56391452641,0.2064523316243095,4,10,1,Corp,458210,21
1.046705270312937,635,592554.79,205257.98292629098,0.24057318078130852,5,11,0,LLC,444140,83
0.8137878375483338,598,362335.722,786876.0039403992,0.038372810136280446,5,11,1,Sole,445110,21
0.8504010748417561,631,591718.631,270536.9430087482,0.18226673728279752,5,8,0,Corp,445110,22
0.8130391686599627,850,80307.502,65934.36657511858,0.10149929666358211,3,12,0,LLC,444240,17
0.44356784220394396,691,76238.708,78929.38275029804,0.08049252946479778,5,10,0,Corp,458210,23
1.238828604096097,703,616509.585,113294.96000061183,0.4534694107286198,5,12,1,Partner,458310,16
0.5916886266043578,683,394105.802,125430.41919770821,0.2618356087521291,5,12,0,Sole,459210,15
0.7418705445103799,733,80556.776,186448.51406752339,0.03600492447065302,4,12,0,LLC,459910,19
0.44263532296772395,710,24460.871,13932.941857541618,0.1463011858879838,5,12,0,Sole,445240,13
0.5945041873213639,850,10509.05,3609.170992046505,0.2426469038448324,3,13,0,Sole,445230,16
0.7466496446625916,683,103355.448,82731.39886843342,0.10410743826170593,5,11,1,Sole,445250,20
0.5612562946217541,721,283255.625,111712.7128327901,0.211297665396397,4,10,0,Sole,722330,12
0.8090812409406759,712,52336.873,21742.20103365981,0.20059634609123972,5,11,1,Partner,459210,14
0.8569113136494376,689,530587.637,714120.53051875,0.06191620955715646,5,10,1,Corp,445131,20
0.7508579859911588,686,244653.441,81325.3368828371,0.25069415672230233,5,9,0,Sole,445291,26
0.6940409689441152,721,139672.332,56310.52839598229,0.20669955213615893,4,9,0,Partner,445110,14
0.600469681033164,738,64291.772,33757.23863067457,0.15871107602380347,4,11,0,Partner,444240,19
1.127658454648175,705,310294.802,113062.1754262423,0.2287051356404816,5,12,1,LLC,459310,21
1.1183763644083577,732,234083.147,41687.9977175419,0.4679267411410921,4,10,1,Corp,722330,14
1.1534028724201426,666,631054.613,188337.54438781974,0.27922146159227323,5,11,1,Partner,722330,20
0.6113073687153795,726,62825.71,103548.8546949684,0.05056044172343447,4,8,0,LLC,441120,9
0.7619567546682833,639,167352.56,52180.69064539705,0.26726450903916643,5,12,0,LLC,441120,14
0.6294581364272758,642,234759.434,86811.64035267054,0.2253532600834544,5,10,0,Sole,722330,18
0.7921761958313938,682,15668.814,4129.575135514771,0.31619100201629674,5,12,1,Corp,722513,15
0.8564430310813698,648,63790.216,24908.255362643227,0.21341724885741747,5,9,1,Corp,722410,16
0.9551600910625032,671,534611.951,1006207.5620313466,0.044276148975392775,5,9,1,Corp,458310,16
0.6781435127080268,664,177460.632,60745.38468905641,0.243448717556055,5,8,0,Partner,458210,19
0.689683740011037,666,231001.694,54979.16796706336,0.3501351853523673,5,8,0,Partner,722330,17
1.211146617379447,758,116323.136,131658.10703061664,0.07362702445974295,4,10,1,LLC,722514,23
0.8565980394198311,625,295716.308,81625.77530880905,0.3019025004471497,5,10,0,Partner,445292,15
1.0751612356256703,700,212946.705,262999.04071895394,0.06747385352239084,5,12,1,Partner,445110,23
0.7736919887640884,753,120291.683,29058.54009203606,0.34496939229971785,4,11,0,Partner,459210,18
0.6576757830160411,693,269950.411,112881.13722689908,0.19928810194492502,5,10,0,Sole,444140,20
1.2125203308241017,723,450603.672,227736.79581040345,0.1648846681379568,4,12,1,LLC,445230,24
0.633591131316728,723,35354.314,24802.109965426305,0.1187879917249086,4,9,1,Sole,459210,17
0.9846994766106247,832,53344.341,11233.897736481176,0.39570965076209,3,13,1,Corp,722410,10
0.6315236775047601,700,148238.212,37541.839661661994,0.3290511185563582,5,12,0,Sole,445230,23
0.43265274431145734,667,20065.897,8092.9173169108135,0.20661993912123905,5,8,0,Sole,445291,24
0.5680243203405686,656,74533.927,82870.57600071779,0.07495013167616374,5,10,0,LLC,445110,16
0.8716981071130684,831,12050.502,5845.816905947573,0.17178240717363413,3,9,1,Corp,444240,17
0.8850068003686041,750,191088.671,57236.54792816399,0.2782148206536234,4,9,0,LLC,459310,17
1.009213907189447,691,297955.279,130028.48285556708,0.19095513565988106,5,9,1,Sole,458210,20
0.7295244107813118,596,348005.315,167502.87327679398,0.17313400271495175,5,10,0,Partner,458210,16
0.5473932745583233,693,117169.425,29166.52828725176,0.33477137401600676,5,10,0,Corp,445240,22
0.58488356947901,699,29201.262,13128.772870943947,0.18535155752336796,5,10,0,Corp,458310,24
0.7935169857678457,843,19790.739,16790.556472882934,0.0982235611227975,3,9,1,Sole,459910,18
0.9837400752216071,837,193917.424,94772.29778806496,0.17051169709392017,3,11,1,Sole,445131,19
0.5994503202352184,666,110241.074,33344.41827912531,0.2755110642436331,5,11,0,Corp,722330,29
0.9554606286953602,723,40072.562,10579.38564247296,0.3156497248063336,4,11,0,LLC,722410,16
1.1167209231596582,850,468350.491,207054.68314209144,0.18849710130221736,3,9,1,LLC,445250,27
0.6699938624248186,723,141903.881,72996.0024012813,0.16199960309688272,4,12,0,Partner,445110,18
1.2558882358930972,700,287963.448,108367.93687929155,0.2214396129616238,5,11,1,LLC,445250,24
0.9497737063788569,728,785834.27,1398697.857045438,0.04681939622399757,4,10,0,Partner,445250,17
0.8912940511763808,794,322990.582,409719.29729194305,0.06569346870219438,4,11,1,Corp,722511,18
0.7662827749712866,740,415959.983,163083.5262016524,0.21254956109917283,4,11,0,Corp,445291,15
0.8332014684653157,656,25675.346,8280.912585353088,0.2583787891265895,5,11,0,LLC,458310,17
0.7158600197281075,695,59125.082,44295.41338400158,0.11123251348741699,5,12,0,LLC,445240,15
0.5996698949057319,725,130923.528,71954.27972703577,0.15162814555838874,4,8,0,Partner,444140,21
0.817872585005879,593,335330.706,137829.34297345107,0.2027451114338016,5,12,0,LLC,445110,12
0.9163343736549404,735,196887.015,77283.05579991895,0.2123007570052271,4,8,1,Corp,722410,24
1.0987189315763193,730,216161.777,49518.80500052424,0.3637705194314758,4,12,1,Partner,722410,13
0.7390456429193384,686,70425.128,240263.83975542456,0.024426316805062066,5,8,1,Sole,444140,31
1.225741932398611,734,481803.096,130582.44254681395,0.30747056967942754,4,11,1,Partner,722513,13
0.7076890442290783,762,420736.75,328667.6794342586,0.10667734622913068,4,12,0,Sole,722511,18
0.49352956749792026,751,110030.014,62436.73277079953,0.14685534342408094,4,9,0,Sole,459210,12
0.8083350942911606,737,214259.903,65573.29564009863,0.27229059851840337,4,8,0,LLC,444240,19
0.8148674109801767,679,48988.992,23268.07401024484,0.1754513931063881,5,12,1,Sole,722514,18
