FICO,TotalAmtOwed,Volume,Stress,Num_Delinquent,Num_CreditLines,WomanOwned,CorpStructure,NAICS,Months
687,113413.656,61428.43309179749,0.15385608136669218,5,11,0,Sole,459210,20
683,293109.54,138138.89343279242,0.176820549180696,5,8,1,Corp,441120,18
748,128502.541,47621.19065682038,0.2248693267773144,4,10,1,Partner,722330,20
620,238659.028,246443.3941504944,0.08070109731238433,5,9,0,Corp,445291,17
722,298167.383,849175.922651478,0.02926046447370197,4,11,0,LLC,441120,18
674,132399.544,61475.81215935295,0.17947376286357405,5,12,0,Partner,441120,19
693,143290.349,35570.4166991028,0.3356964445392019,5,11,0,Sole,445240,17
672,222908.306,90548.55164800689,0.20514620972488573,5,10,0,Sole,445110,18
664,287146.233,158906.89166949986,0.15058410933975142,5,12,0,LLC,722514,15
732,438594.896,525161.8573612943,0.0695967807911871,4,10,1,Partner,722511,19
634,53873.784,22515.074351934996,0.19939894178560258,5,11,0,Corp,722514,26
775,43230.277,29849.124871539985,0.12069107884526971,4,13,1,Partner,444240,16
659,260551.936,81828.66248382123,0.26534298220536423,5,10,0,Partner,445320,17
668,355091.408,158971.64454803494,0.18613980342717945,5,10,0,Partner,722513,19
673,167072.802,39484.15271204638,0.3526157342551321,5,8,1,LLC,722514,19
774,72731.555,30877.264229844885,0.19629209607269388,4,9,1,LLC,445110,25
708,104108.119,74211.37603371449,0.1169049416277087,5,9,0,LLC,459210,23
763,143763.434,46854.79271064012,0.2556896631824411,4,11,1,Corp,445240,19
722,613978.885,287878.39062542375,0.17773097512521227,4,12,0,Sole,722330,17
622,59033.186,24961.483942470608,0.19708091786548476,5,9,0,Sole,722514,17
632,66721.403,43622.831019437275,0.12745887386788843,5,8,0,Sole,445230,18
759,244960.618,53651.47107275694,0.3804813628623654,4,11,0,Partner,722330,17
765,66178.011,27478.46582190938,0.20069658494554168,4,12,0,Partner,722511,23
628,95523.458,26210.09793455271,0.30371073723355446,5,10,0,Sole,458210,17
700,50679.112,16648.55273769999,0.25367125898997395,5,12,0,Corp,444240,18
720,230866.004,130293.90340867532,0.14765720546665034,4,8,1,Sole,722511,14
705,636566.494,271299.66349767544,0.19552994334542492,5,12,1,Corp,445110,11
648,30941.059,11179.900141553575,0.2306301085597203,5,9,0,LLC,445291,12
610,404801.313,174487.23661267565,0.19332899875582896,5,9,0,LLC,445230,17
726,415196.089,1350665.1826531715,0.02561676611472849,4,9,1,Sole,445292,23
652,490536.255,116322.93038179338,0.35141842726821587,5,11,0,Sole,445230,26
613,30765.263,12269.383771817986,0.20895686078020412,5,9,0,Sole,445291,13
611,161870.389,80107.4029712617,0.16838892016225446,5,11,0,Corp,445230,14
729,192629.876,160665.88888060994,0.09991224508517296,4,9,0,Partner,445131,14
741,284995.795,104313.58091318951,0.22767552772536834,4,9,1,Corp,445320,11
695,608214.504,588680.319389955,0.08609858412206477,5,12,0,Sole,444240,15
749,276946.339,78427.34269327816,0.29427060500561075,4,11,1,LLC,722410,14
664,79442.271,32382.204760491364,0.20443911398142692,5,10,0,Sole,444140,13
761,28621.624,26688.548419619186,0.08936924166246454,4,10,1,Corp,722330,22
704,76930.17,36187.93620048742,0.17715427219951965,5,12,0,Partner,722410,20
693,204121.422,104557.87010653874,0.162686161095933,5,8,0,Partner,441120,13
740,632984.787,371585.4155151081,0.14195587352877503,4,10,0,Corp,445291,16
787,60050.493,48373.71849796343,0.10344889550326136,4,12,1,Sole,459210,24
597,83451.365,45635.40362371457,0.15238783629499567,5,11,0,LLC,722514,19
703,196865.418,57755.8731778369,0.2840481945357444,5,12,1,Sole,722514,17
683,244495.248,41252.759911137124,0.49389674882090523,5,11,0,Corp,441120,18
699,236568.253,88918.55951277263,0.22170873202800287,5,10,0,Corp,444240,18
690,185472.479,241788.1974884242,0.06392388080649238,5,12,0,LLC,445250,12
710,278646.514,232883.8721643744,0.09970867719402993,5,12,0,Corp,444140,19
707,38275.49,22830.576529582788,0.13970843717125153,5,10,0,Partner,722513,15
683,167548.107,67537.57526195141,0.2067344318454671,5,11,0,Partner,445291,25
642,47083.831,13778.38542722706,0.2847686765664081,5,12,0,Sole,445131,15
701,39276.45,14786.969413383962,0.2213460654782658,5,12,1,LLC,458310,26
577,181509.311,245868.99353616007,0.06151965605391438,5,11,1,Corp,459210,19
681,317974.981,384074.42017417325,0.06899161644588786,5,8,0,LLC,459210,19
656,750413.27,326263.70065239613,0.19166839290311166,5,11,1,Sole,459210,27
689,19766.423,5831.790876011681,0.2824521577826494,5,9,1,LLC,722511,14
632,14001.264,2276.0492930657338,0.5126303738476646,5,10,0,Corp,722410,16
